Symbol,Name,Index,Description,Category,Provider
ALT,Diversified Alternatives Trust,n/a,This ETF is not linked to a specific benchmark.,Hedge Fund,iShares
AMJ,JPMorgan Alerian MLP Index ETN,Alerian MLP Index,"The Alerian MLP Index is a market-cap weighted, float-adjusted index created to provide a comprehensive benchmark for investors to track the performance of the energy MLP sector. The majority of MLPs currently operate in the energy infrastructure industry, owning assets such as pipelines that transport crude oil, natural gas and other refined petroleum products.",Energy Equities,JP Morgan
AOA,iShares S&P Aggressive Allocation,S&P Target Risk Aggressive Index,The Index is designed to measure the performance of S&P's proprietary aggressive target risk allocation model,Diversified Portfolio,iShares
AOK,iShares S&P Conservative Allocation,S&P Target Risk Conservative Index,The Index is designed to measure the performance of S&P's proprietary conservative target risk allocation model,Diversified Portfolio,iShares
AOM,iShares S&P Moderate Allocation,S&P Target Risk Moderate Index,The Index is designed to measure the performance of S&P's proprietary moderate target risk allocation model,Diversified Portfolio,iShares
AOR,iShares S&P Growth Allocation,S&P Target Risk Growth Index,The Index is designed to measure the performance of S&P's proprietary growth target risk allocation model,Diversified Portfolio,iShares
ASO,AirShares EU Carbon Allowances,n/a,This ETF is not linked to a specific benchmark.,Commodities,XShares
AXFN,MSCI ACWI ex US Financials Sector Index Fund,MSCI All Country World ex USA Financials Index,"The index is a free float-adjusted, market capitalization-weighted index designed to measure the combined equity market performance of the financials sector of developed and emerging markets countries, excluding the United States. Component securities include those of banks, diversified financial companies, insurance companies, and real estate companies.",Financials Equities,iShares
AYT,Barclays GEMS Asia-8 ETN,Barclays Global Emerging Market Strategy (GEMS) Asia 8 Index,"The index is designed to replicate exposure to local currencies in eight Asian markets through short-term, liquid and diversified instruments. Currently, the index includes the following eight currencies: the Indonesian rupiah, the Indian rupee, the Philippine peso, the South Korean won, the Thai baht, the Malaysian ringgit, the Taiwanese dollar and the Chinese yuan.",Currency,Barclays iPath
BAB,Build America Bond Portfolio,BofA Merrill Lynch Build America Bond Index,"The Index is designed to track the performance of U.S. dollar-denominated Build America Bonds publicly issued by U.S. states and territories, and their political subdivisions, in the U.S. market.",National Munis,Invesco PowerShares
BABS,SPDR Nuveen Barclays Capital Build America Bond ETF,Barclays Capital Build America Bond Index,The index consists of all direct pay Build America Bonds that satisfy the rules of the Barclays Capital Taxable Municipal Index.,National Munis,State Street
BAL,iPath Dow Jones-AIG Cotton Total Return Sub-IndexSM ETN,Dow Jones-UBS Cotton Subindex Total Return,The Dow Jones-UBS Cotton Subindex Total Return is a single-commodity sub-index currently consisting of one futures contract on the commodity of cotton.,Commodities,Barclays iPath
BBH,HOLDRS Biotech,n/a,This ETF is not linked to a specific benchmark.,Health & Biotech Equities,Merrill Lynch HOLDRs
BDD,PowerShares DB Base Metals Dble Long ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals (200%),"The index is designed to reflect the performance of certain futures contracts on aluminum, copper and zinc plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares
BDG,PowerShares DB Base Metals Long ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals,"The Index is a rules-based index composed of futures contracts on some of the most liquid and widely used base metals - aluminum, zinc and copper (grade A). The index is intended to reflect the performance of the industrial metals sector.",Metals,Invesco PowerShares
BDH,HOLDRS Broadband,n/a,This ETF is not linked to a specific benchmark.,Technology Equities,Merrill Lynch HOLDRs
BGU,Direxion Large Cap Bull 3X Shares,Russell 1000 Index (300%),The Russell 1000 Index measures the performance of the large-cap segment of the U.S. equity universe. It is a subset of the Russell 3000 Index and includes approximately 1000 of the largest securities based on a combination of their market cap and current index membership.,Leveraged Equities,Direxion
BGZ,Direxion Large Cap Bear 3X Shares,Russell 1000 Index (-300%),The Russell 1000 Index measures the performance of the large-cap segment of the U.S. equity universe. It is a subset of the Russell 3000 Index and includes approximately 1000 of the largest securities based on a combination of their market cap and current index membership.,Leveraged Equities,Direxion
BHH,HOLDRS B2B Internet,n/a,This ETF is not linked to a specific benchmark.,Technology Equities,Merrill Lynch HOLDRs
BIB,Ultra Nasdaq Biotechnology,NASDAQ Biotechnology Index (200%),The index contains NASDAQ listed companies classified as either biotechnology or pharmaceuticals companies.,Leveraged Equities,ProShares
BICK,BICK Index Fund,ISE BICK Index,"The index is designed to track the largest and most liquid public companies that are domiciled in Brazil, India, Mainland China and South Korea.",Emerging Markets Equities,First Trust
BIK,SPDR S&P BRIC 40,S&P BRIC 40 Index,"The S&P BRIC 40 Index includes a subset of the constituents of the S&P/IFC Investable (S&P/IFCI) country indices for Brazil, Russia, India or China. The S&P/IFCI Index series is designed to measure the type of returns foreign portfolio investors might receive from investing in emerging market stocks that are legally and practically available to them. Constituents for the S&P/IFCI series are drawn from the S&P/IFC Global stock universe based on size, liquidity and their legal and practical availability to foreign institutional investors.",Emerging Markets Equities,State Street
BIL,SPDR Lehman 1-3 Month T-Bill ETF,Barclays Capital U.S. 1-3 Month Treasury Bill Index,"The Barclays Capital 1-3 Month U.S. Treasury Bill Index includes all publicly issued zero-coupon U.S. Treasury Bills that have a remaining maturity of less than 3 months and more than 1 month, are rated investment grade, and have $250 million or more of outstanding face value. In addition, the securities must be denominated in U.S. dollars and must be fixed rate and non convertible.",Money Market,State Street
BIS,UltraShort Nasdaq Biotechnology,NASDAQ Biotechnology Index (-200%),The index contains NASDAQ listed companies classified as either biotechnology or pharmaceuticals companies.,Leveraged Equities,ProShares
BIV,Vanguard Intermediate-Term Bond ETF,Barclays Capital U.S. 5-10 Year Government/Credit Bond Index,"This index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities between 5 and 10 years and are publicly issued.",Total Bond Market,Vanguard
BJK,Market Vectors Gaming ETF,S-Network Global Gaming Index,The Index provides exposure to publicly traded companies worldwide that derive greater than 50% of revenues from the global gaming industry.,Miscellaneous Sector Equities,Van Eck
BKF,iShares MSCI BRIC Index Fund,MSCI BRIC Index,"The index measures the combined equity market performance in Brazil, Russia, India, and China.",Emerging Markets Equities,iShares
BLV,Vanguard Long-Term Bond ETF,Barclays Capital U.S. Long Government/Credit Bond Index,"The Barclays Capital Long Government/Credit Index measures the investment return of all medium and larger public issues of U.S. Treasury, agency, investment-grade corporate, and investment-grade international dollar-denominated bonds with maturities longer than 10 years. The average maturity is approximately 20 years.",Total Bond Market,Vanguard
BND,Vanguard Total Bond Market ETF,Barclays Capital U.S. Aggregate Bond Index,The index measures the performance of the U.S. investment grade bond market.,Total Bond Market,Vanguard
BNZ,WisdomTree Dreyfus New Zealand Dollar Fund,New Zealand Dollar,WisdomTree Dreyfus New Zealand Dollar Fund seeks to achieve total returns reflective of both money market rates in New Zealand available to foreign investors and changes in value of the New Zealand Dollar relative to the U.S. dollar.,Currency,Wisdom Tree
BOM,PowerShares DB Base Metals Dble Shrt ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals (-200%),"The index is designed to reflect the performance of certain futures contracts on aluminum, copper and zinc plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares
BOS,PowerShares DB Base Metals Short ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals (-100%),"The index is designed to reflect the performance of certain futures contracts on aluminum, copper and zinc plus the returns from investing in 3 month United States Treasury Bills.",Inverse Commodities,Invesco PowerShares
BRF,Market Vectors Brazil Small-Cap ETF,Market Vectors Brazil Small-Cap Index,The Index provides exposure to publicly traded small capitalization companies that are domiciled and primarily listed on an exchange in Brazil or that generate at least 50% of their revenues in Brazil.,Latin America Equities,Van Eck
BRIL,Daily BRIC Bull 2x Shares,Bank of New York Mellon BRIC Select ADR Index (200%),"The index is comprised of American depositary receipts and global depositary receipts selected, based on liquidity, from a universe of all listed depositary receipts of companies from Brazil, Russia, India and China currently trading on U.S. exchanges.",Leveraged Equities,Direxion
BRIS,Daily BRIC Bear 2x Shares,Bank of New York Mellon BRIC Select ADR Index (-200%),"The index is comprised of American depositary receipts and global depositary receipts selected, based on liquidity, from a universe of all listed depositary receipts of companies from Brazil, Russia, India and China currently trading on U.S. exchanges.",Leveraged Equities,Direxion
BRXX,Brazil Infrastructure Index Fund,INDXX Brazil Infrastructure Index,"The Index is a free-float capitalization weighted stock market index comprised of 30 leading companies that INDXX, LLC deems to be representative of Brazil's infrastructure sectors.",Latin America Equities,EG Shares
BSC,ELEMENTS BG Small Cap ETN,Benjamin Graham Small Cap Value Index - Total Return,"The Index tracks the value of a portfolio of small-cap U.S. stocks that are selected according to the Benjamin Graham Methodology. The methodology seeks to identify businesses with strong, liquid balance sheets that trade at a discount to their implied intrinsic value, implementing the investment principles of Benjamin Graham through a quantitative, objective process utilizing modern portfolio theory and statistical analysis.",Small Cap Value Equities,ELEMENTS
BSR,BearLinx Alerian MLP Select Index ETN,n/a,This ETF is not linked to a specific benchmark.,Energy Equities,JP Morgan
BSV,Vanguard Short-Term Bond ETF,Barclays Capital U.S. 1-5 Year Government/Credit Bond Index,"This index includes all medium and larger issues of U.S. government, investment-grade corporate, and investment-grade international dollar-denominated bonds that have maturities of between 1 and 5 years and are publicly issued.",Total Bond Market,Vanguard
BVL,ELEMENTS BG Large Cap ETN,Benjamin Graham Large Cap Value Index - Total Return,"The Index tracks the value of a portfolio of large-cap U.S. stocks that are selected according to the Benjamin Graham Methodology. The methodology seeks to identify businesses with strong, liquid balance sheets that trade at a discount to their implied intrinsic value, implementing the investment principles of Benjamin Graham through a quantitative, objective process utilizing modern portfolio theory and statistical analysis.",Large Cap Value Equities,ELEMENTS
BVT,ELEMENTS BG Total Market ETN,Benjamin Graham Total Market Value Index - Total Return,"The Index tracks the value of a portfolio of companies drawn from the 3,000 largest U.S. companies by market capitalization that are selected according to the Benjamin Graham Methodology. The methodology seeks to identify businesses with strong, liquid balance sheets that trade at a discount to their implied intrinsic value, implementing the investment principles of Benjamin Graham through a quantitative, objective process utilizing modern portfolio theory and statistical analysis.",Large Cap Value Equities,ELEMENTS
BWV,iPath CBOE S&P 500 BuyWrite Index ETN,CBOE S&P 500 BuyWrite Index,"The Index is designed to measure the total rate of return of a hypothetical ""buy-write"", or ""covered call"", strategy on the S&P 500 Index. This strategy consists of a hypothetical portfolio consisting of a ""long"" position indexed to the S&P 500 Index (i.e. purchasing the common stocks included in the S&P 500 Index) and the sale of a succession of one-month, at- or slightly out-of-the-money S&P 500 Index call options that are listed on the Chicago Board Options Exchange.",Long-Short,Barclays iPath
BWX,SPDR Lehman Intl Treasury Bd,Barclays Capital Global Treasury Ex-US Capped Index,"The Barclays Capital Global Treasury Ex-US Capped Index includes government bonds issued by investment-grade countries outside the United States, in local currencies, that have a remaining maturity of one year or more and are rated investment grade",International Government Bonds,State Street
BWZ,SPDR Barclays Capital Short Term International Treasury Bond ETF,Barclays Capital 1-3 Year Global Treasury ex-US Capped Index,The Barclays Capital 1-3 Year Global Treasury ex-US Capped Index measures the performance of fixed-rate local currency sovereign debt of investment grade countries outside the United States that have remaining maturities of one to three years.,International Government Bonds,State Street
BXDB,Barclays Short B Leveraged Inverse S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Inverse Equities,Barclays iPath
BXDC,Barclays Short C Leveraged Inverse S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Leveraged Equities,Barclays iPath
BXDD,Barclays Short D Leveraged Inverse S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Leveraged Equities,Barclays iPath
BXUB,Barclays Long B Leveraged S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Leveraged Equities,Barclays iPath
BXUC,Barclays Long C Leveraged S&P 500 TR ETN,S&P 500 Total Return Index,The S&P 500 Total Return Index is a total return index that reflects both changes in the prices of stocks in the S&P 500 Index as well as the reinvestment of the dividend income from its underlying stocks.,Leveraged Equities,Barclays iPath
BZF,WisdomTree Dreyfus Brazilian Real Fund,Brazilian Real,WisdomTree Dreyfus Brazilian Real Fund seeks to achieve total returns reflective of both money market rates in Brazil available to foreign investors and changes in value of the Brazilian Real relative to the U.S. dollar.,Currency,Wisdom Tree
BZQ,ProShares UltraShort MSCI Brazil,MSCI Brazil Index (-200%),"ProShares Ultrashort MSCI Brazil seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of the MSCI Brazil Index.",Leveraged Equities,ProShares
CEW,WisdomTree Dreyfus Emerging Currency Fund,n/a,This ETF is not linked to a specific benchmark.,Currency,Wisdom Tree
CFT,iShares Lehman Credit Bond Fund,Barclays Capital U.S. Credit Bond Index,The index measures the performance of investment grade corporate debt and agency bonds that are dollar denominated and have a remaining maturity of greater than one year.,Corporate Bonds,iShares
CGW,Claymore S&P Global Water,S&P Global Water Index,"The S&P Global Water Index is comprised of approximately 50 securities selected based on the relative importance of the global water industry within the company's business model from a universe of companies listed on global developed market exchanges. The Index is designed to have a balanced representation from different segments of the water industry consisting of the following two clusters: 25 water utilities and infrastructure companies (water supply, water utilities, waste water treatment, water, sewer and pipeline construction, water purification, water well drilling, and water testing) and 25 water equipment and materials companies (water treatment chemicals, water treatment appliances, pumps and pumping equipment, fluid power pumps and motors, plumbing equipment, totalizing fluid meters and counting devices)",Miscellaneous Sector Equities,Claymore
CHIB,Global X China Technology ETF,S-BOX China Technology Index,The S-BOX China Technology Index is designed to reflect the performance of the technology sector in China. It is made up of securities of companies which have their main business operations in the technology sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X
CHIE,Global X China Energy ETF,S-BOX China Energy Index,The S-BOX China Energy Index is designed to reflect the performance of the energy sector in China. It is made up of securities of companies which have their main business operations in the energy sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X
CHII,China Industrials ETF,S-BOX China Industrials Index,The S-BOX China Industrials Index is designed to reflect the performance of the industrial sector in China. It is made up of securities of companies which have their main business operations in the industrial sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X
CHIM,China Materials ETF,S-BOX China Materials Index,The S-BOX China Materials Index is designed to reflect the performance of the materials sector in China. It is made up of securities of companies which have their main business operations in the materials sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X
CHIQ,China Consumer ETF,S-BOX China Consumer Index,The S-BOX China Consumer Index is designed to reflect the performance of the consumer sector in China. It is made up of securities of companies which have their main business operations in the consumer sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X
CHIX,Global X China Financials ETF,S-BOX China Financials Index,The S-BOX China Financials Index is designed to reflect the performance of the financial sector in China. It is made up of securities of companies which have their main business operations in the financial sector and are domiciled in China or have their main business operations in this country.,China Equities,Global X
CHXX,INDXX China Infrastructure Index Fund,INDXX China Infrastructure Index,"The Index is a free-float market capitalization weighted stock market index comprised of 30 leading companies that INDXX, LLC determines to be representative of China's infrastructure sector.",China Equities,EG Shares
CIU,iShares Lehman Intermediate Credit Bond Fund,Barclays Capital U.S. Intermediate Credit Bond Index,The index measures the performance of investment grade corporate debt and agency bonds that are dollar denominated and have a remaining maturity of greater than one year and less than ten years.,Corporate Bonds,iShares
CLY,iShares 10+ Year Credit Bond Fund,BofA Merrill Lynch 10+ Year US Corporate & Yankees Index,"The index includes debt securities issued publicly by U.S. corporations and U.S. dollar-denominated, publicly issued debt of non-U.S. corporations, non-U.S. government debt and supranational debt.",Corporate Bonds,iShares
CMD,ProShares UltraShort DJ-AIG Commodity,Dow Jones-UBS Commodity Index (-200%),"ProShares UltraShort DJ-UBS Commodity seeks daily investment results, before fees and expenses, that correspond to twice (200%) the inverse (opposite) of the daily performance of The Dow Jones-UBS Commodity Index",Leveraged Commodities,ProShares
CMF,iShares S&P Cali Muni Bond,S&P California AMT-Free Municipal Bond Index,The index measures the performance of the investment grade segment of the California municipal bond market.,California Munis,iShares
CNDA,IQ Canada Small Cap ETF,IQ Canada Small Cap Index,The IQ Canada Small Cap Index is a market cap-weighted index that seeks to provide investors with a means of tracking the overall performance of the small capitalization sector of publicly traded companies domiciled and primarily listed on an exchange in Canada.,Foreign Small & Mid Cap Equities,IndexIQ
CNY,Market Vectors-Chinese Renminbi/USD ETN,S&P Chinese Renminbi Total Return Index,Tracks the exchange rate of the U.S. Dollar against the Chinese Yuan.,Currency,Van Eck
COPX,Copper Miners ETF,Solactive Global Copper Miners Index,"The index is designed to reflect the performance of the copper mining industry. It is comprised of common stocks, ADRs and GDRs of selected companies globally that are actively engaged in some aspect of the copper mining industry such as copper mining, refining or exploration.",Commodity Producers Equities,Global X
COW,iPath DJ-AIG Livestock Total Return Sub-IndexSM ETN,Dow Jones-UBS Livestock Subindex Total Return,The index is currently composed of two livestock commodities contracts (lean hogs and live cattle) traded on U.S. exchanges.,Agricultural Commodities,Barclays iPath
CPI,IQ CPI Inflation Hedged ETF,IQ CPI Inflation Hedged Index,"The Index seeks to provide a hedge against the U.S. inflation rate by providing a real return or a return above the rate of inflation, as represented by the Consumer Price Index.",Hedge Fund,IndexIQ
CQQQ,Claymore China Technology ETF,AlphaShares China Technology Index,The index is designed to measure the performance of Chinese companies operating in the technology sector .,China Equities,Claymore
CRBA,Jefferies TR/J CRB Global Agriculture Equity Index Fund,Thomson Reuters/Jefferies CRB In-The-Ground Global Agriculture Equity Index,"The Jefferies | TR/J CRB Global Agriculture Equity Index measures the performance of equity securities of a global universe of listed companies engaged in the production and distribution of agricultural products including grains, livestock, fertilizers, chemicals, seeds, traits and equipment.",Commodity Producers Equities,Jefferies
CRBI,Jefferies TR/J CRB Global Industrial Metals Equity Index Fund,Thomson Reuters/Jefferies CRB In-The-Ground Global Industrial Metals Equity Index,"The Jefferies | TR/J CRB Global Industrial Metals Equity Index measures the performance of equity securities of a global universe of listed companies engaged in the production and distribution of base/industrial metals and base/industrial metal products, including copper, aluminum, iron ore, steel and others.",Commodity Producers Equities,Jefferies
CRBQ,Thomson Reuters/Jefferies CRB Global Commodity Equity Index Fund,Thomson Reuters/Jefferies CRB In-The-Ground Global Commodity Equity Index,"The Jefferies | TR/J CRB Global Commodity Equity Index measures the performance of equity securities of a global universe of listed companies engaged in the production and distribution of commodities and commodity-related products and services in the agriculture, base/industrial metals, energy and precious metals sectors.",Commodity Producers Equities,Jefferies
CRO,Claymore/Zacks Country Rotation,Zacks Country Rotation Index,"The Index is comprised of 200 stocks selected, based on investment and other criteria, from a universe of international companies listed on developed international market exchanges. Developed international markets are defined as countries whose economies have high income levels, strong legal protection and sophisticated stock exchanges.",Foreign Large Cap Equities,Claymore
CSD,Claymore/Clear Spin-Off ETF,Beacon Spin-off Index,"The Index is comprised of approximately 40 securities selected, based on investment and other criteria, from a broad universe of U.S.-traded stocks, American depositary receipts and master limited partnerships. The universe of companies eligible for inclusion in the Index includes companies that have been spun-off within the past two years (but not more recently than six months prior to the applicable rebalancing date), without limitations on market capitalization (including micro-cap securities), but which are primarily small- and mid-cap companies with capitalizations under $10.0 billion.",Quantitative Methodology Indexes,Claymore
CSJ,iShares Lehman 1-3 Year Credit Bond Fund,Barclays Capital U.S. 1-3 Year Credit Bond Index,"The index measures the performance of investment grade corporate debt and sovereign, supranational, local authority, and non-U.S. agency bonds that have a remaining maturity of at least one year and less than three years.",Corporate Bonds,iShares
CSLS,Credit Suisse Long/Short Liquid Index (Net) ETN,Credit Suisse Long/Short Liquid Index,"The index reflects the return of a dynamic basket of liquid, investable market factors selected and weighted in accordance with an algorithm that aims to correlate to the historical performance of the Credit Suisse/Tremont Long/Short Equity Hedge Fund Index.",Hedge Fund,Credit Suisse
CSM,ProShares Credit Suisse 130/30,Credit Suisse 130/30 Large-Cap Index,The methodology of the Credit Suisse 130/30 Index has two main components: the calculation of expected alpha scores for each large-cap stock in the universe and portfolio optimization. The expected alpha scores quantify the performance prospects for each stock; portfolio optimization attempts to ensure that the long/short portfolio maintains risk characteristics similar to the long-only large-cap universe.,Long-Short,ProShares
CU,ISE Global Copper Index Fund,ISE Global Copper Index,The index is a modified linear weighted index designed to track public companiesthat are active in the copper mining industry based on analysis of revenue derived from the sale of copper.,Commodity Producers Equities,First Trust
CUT,Claymore/Clear Global Timber,Beacon Global Timber Index,"All stocks in the Index are selected from the universe of global timber companies. Beacon Indexes, the Fund's index provider, defines global timber companies as firms who own or lease forested land and harvest the timber from such forested land for commercial use and sale of wood-based products, including lumber, pulp or other processed or finished goods such as paper and packaging.",Commodity Producers Equities,Claymore
CVY,Claymore/Zacks Multi-Asset Income Index ETF,Zacks Multi-Asset Income Index,"The Index is designed to identify companies with potentially high income and superior risk-return profiles as determined by Zacks Investment Research, Inc., the Fund's index provider. The objective of the Index is to select a diversified group of securities with the potential to have a yield in excess of and outperform, on a risk adjusted basis, the Dow Jones U.S. Select Dividend Index and other benchmark indices. The Index is comprised of approximately 125 to 150 securities.",Large Cap Value Equities,Claymore
CWB,SPDR Barclays Capital Convertible Bond ETF,Barclays Capital U.S. Convertible Bond >$500MM Index,"The Barclays Capital U.S. Convertible Bond >$500MM Index represents the market of U.S. convertible bonds with outstanding issue sizes greater than $500 million. Convertible bonds are bonds that can be exchanged, at the option of the holder, for a specific number of shares of the issuer's preferred stock or common stock.",Preferred Stock/Convertible Bonds,State Street
CWI,SPDR MSCI ACWI ex-US ETF,MSCI All Country World ex-U.S. Index,"The index measures the performance of global equity markets, excluding the United States.",Global Equities,State Street
CXA,SPDR Lehman California Municipal Bond ETF,Barclays Capital Managed Money Municipal California Index,"The Barclays Capital Managed Money Municipal California Index is a rules-based, market-value weighted index comprised of publicly traded California municipal bonds that cover the U.S. dollar denominated tax exempt bond market, including state and local general obligation bonds, revenue bonds, insured bonds, and pre-refunded bonds.",California Munis,State Street
CYB,WisdomTree Dreyfus Chinese Yuan Fund,Chinese Yuan,WisdomTree Dreyfus Chinese Yuan Fund seeks to achieve total returns reflective of both money market rates in China available to foreign investors and changes in value of the Chinese Yuan relative to the U.S. dollar.,Currency,Wisdom Tree
CZA,Claymore/Zacks Mid-Cap Core ETF,Zacks Mid-Cap Core Index,"The Index seeks to select a group of securities with the potential to outperform indices such as the Russell Midcap Index or the S&P MidCap 400 Index and other benchmark indices on a risk-adjusted basis. The Index is comprised of 100 securities selected, based on investment and other criteria, from a universe of mid-capitalization securities, including master limited partnerships and American depositary receipts. Currently, the mid-capitalization universe ranges from approximately $1 billion in market capitalization to $10 billion in market capitalization.",Mid Cap Blend Equities,Claymore
CZI,Direxion Daily China Bear 3x Shares,Bank of New York Mellon China Select ADR Index (-300%),The BNY China Select ADR Index is a free float-adjusted capitalization-weighted index designed by the Bank of New York to track the performance of a basket of companies who have their primary equity listing on a stock exchange in China and which also have depositary receipts that trade on a U.S. exchange or on the NASDAQ.,Leveraged Equities,Direxion
CZM,Direxion Daily China Bull 3x Shares,Bank of New York Mellon China Select ADR Index (300%),The BNY China Select ADR Index is a free float-adjusted capitalization-weighted index designed by the Bank of New York to track the performance of a basket of companies who have their primary equity listing on a stock exchange in China and which also have depositary receipts that trade on a U.S. exchange or on the NASDAQ.,Leveraged Equities,Direxion
DAG,DB Agriculture Double Long ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture (200%),"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares
DBA,PowerShares DB Agriculture Fund,Deutsche Bank Liquid Commodity Index Diversified Agriculture Excess Return,The Index is a rules-based index composed of futures contracts on some of the most liquid and widely traded agricultural commodities. The Index is intended to reflect the performance of the agricultural sector.,Agricultural Commodities,Invesco PowerShares
DBB,PowerShares DB Base Metals Fund,Deutsche Bank Liquid Commodity Index-Optimum Yield Industrial Metals,"The Index is a rules-based index composed of futures contracts on some of the most liquid and widely used base metals - aluminum, zinc and copper (grade A). The index is intended to reflect the performance of the industrial metals sector.",Metals,Invesco PowerShares
DBC,PowerShares DB Commodity Index Trac,Deutsche Bank Liquid Commodity Index-Optimum Yield Diversified Excess Return,The Index is a rules-based index composed of futures contracts on 14 of the most heavily-traded and important physical commodities in the world.,Commodities,Invesco PowerShares
